id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
1,legal system,法律制度,法律制度,ˈligəl ˈsɪstəm,,"1,2,13,14",45,textbook,,
2,rule of law,法治,法治,rul əv lɔ,,"1,3",10,textbook,,
3,vigilante,私刑团体,私刑团体,ˌvɪʤəˈlænti,,1,2,textbook,,
4,civil disobedience,公民不服从；非暴力抵抗,公民不服从,ˈsɪvəl ˌdɪsəˈbidiəns,《元照》：非暴力抵抗。为抗议某一特定法律不公正而采取的违反法律行为。教材通行译名“公民不服从”保留。,1,4,textbook,contextual_supplement,civil disobedience 非暴力抵抗。
5,civil rights,公民权利；民权,公民权利；民权,ˈsɪvəl raɪts,,"1,14",2,textbook,,
6,vigilantism,私刑主义,私刑主义,ˌvɪʤəˈlæntɪzəm,,1,1,textbook,,
7,real property,不动产,不动产,ril ˈprɑpərti,,"1,2,11,12,13",13,textbook,,
8,freedom of expression,表达自由,表达自由,ˈfridəm əv ɪkˈsprɛʃən,,1,1,textbook,,
9,malum in se,自然犯,自然犯,,,"1,7",6,textbook,,
10,wrong in itself,本质上违法,本质上违法,rɔŋ ɪn ˌɪtˈsɛlf,,1,4,textbook,,
11,homicide,杀人,杀人,ˈhɑməˌsaɪd,,"1,2,7",4,textbook,,
12,arson,纵火,纵火,ˈɑrsən,,"1,7",2,textbook,,
13,theft,盗窃,盗窃,θɛft,,"1,14",2,textbook,,
14,malum prohibitum,法定犯,法定犯,,,"1,7",8,textbook,,
15,contract law,合同法,合同法,ˈkɑnˌtrækt lɔ,,"1,11,13,14",12,textbook,,
16,contract,合同；契约,合同；有效合同；买卖合同；合同法,ˈkɑnˌtrækt,《元照》：合同；契约。原词库中“合同法”“有效合同”“买卖合同”属于独立或下位概念，已从 bare contract 卡片移出。,"1,2,5,11,12,13,14",170,textbook,aggregation_cleanup,contract n. ①合同；契约。
17,due process,正当程序,正当程序,du ˈprɔˌsɛs,,"1,4,5,6,7,8,9,13,14",59,textbook,,
18,criminal law,刑法；刑事法律,刑法；实体刑法；程序刑法,ˈkrɪmənəl lɔ,《元照》：刑法；刑事法律。“实体刑法”“程序刑法”已由 substantive criminal law、procedural criminal law 独立表示。,"1,2,7,9,13,14",49,textbook,aggregation_cleanup,criminal law 刑法；刑事法律。
19,void for vagueness,因含糊而无效,因含糊而无效,vɔɪd fər ˈveɪgnɪs,,1,2,textbook,,
20,precedent,先例,先例,ˈprɛsɪdənt,,"1,2,3,4,5,6,13",36,textbook,,
21,statute,成文法；制定法,成文法；制定法,ˈstæʧut,,"1,2,3,5,6,13",57,textbook,,
22,due process of law,正当法律程序,正当法律程序,du ˈprɔˌsɛs əv lɔ,,"1,2,3,4,5,6,7,8,9,12",30,textbook,,
23,beyond a reasonable doubt,排除合理怀疑,排除合理怀疑,bɪɔnd ə ˈrizənəbəl daʊt,,"1,4,7,9",14,textbook,,
24,natural law,自然法,自然法,ˈnæʧərəl lɔ,,"1,2",19,textbook,,
25,majority rule,多数决定原则,多数决定原则,məˈʤɔrəti rul,,1,5,textbook,,
26,higher law,高级法,高级法,haɪər lɔ,,1,4,textbook,,
27,positive law,实在法,实在法,ˈpɑzətɪv lɔ,,"1,9",13,textbook,,
28,prohibition,禁酒令（教材语境）；禁审令；禁止令,禁酒令,ˌproʊəˈbɪʃən,《元照》：①禁审令；禁止令；②〈美〉禁酒。教材第一章的美国历史语境中“禁酒令”正确。,1,1,textbook,contextual_supplement,prohibition n. ①禁审令；禁止令……②〈美〉禁酒。
29,pari-mutuel,同注分彩,同注分彩,,,1,1,textbook,,
30,family law,家庭法,家庭法,ˈfæməli lɔ,,"1,13",9,textbook,,
31,substantive law,实体法,实体法,ˈsəbstəntɪv lɔ,,"1,2,3,4,7",10,textbook,,
32,procedural law,程序法,程序法,prəˈsiʤərəl lɔ,,"1,3,4,7",7,textbook,,
33,civil law,民法；大陆法系；民事法律；民事法,民法；大陆法系；民事法律；民事法,ˈsɪvəl lɔ,,"1,2,3,7",34,textbook,,
34,civil action,民事诉讼,民事诉讼,ˈsɪvəl ˈækʃən,,"1,7,9",6,textbook,,
35,divorce,离婚,离婚,dɪˈvɔrs,,"1,2,13",49,textbook,,
36,adultery,通奸,通奸,əˈdəltəri,,"1,2,13",6,textbook,,
37,constitution,宪法,宪法,ˌkɑnstəˈtuʃən,,"1,2,5,6,14",151,textbook,,
38,cruel and unusual punishment,酷刑；残酷和非常刑罚；残酷和非常的刑罚,酷刑；残酷和非常刑罚；残酷和非常的刑罚,kruəl ənd ənˈjuˌʒuəl ˈpənɪʃmənt,,"1,6,7",18,textbook,,
39,procedural due process,程序性正当程序；正当程序,程序性正当程序；正当程序,prəˈsiʤərəl du ˈprɔˌsɛs,,"1,4,6,7",13,textbook,,
40,bill of rights,权利法案,权利法案,bɪl əv raɪts,,"1,2,5,6",20,textbook,,
